ID;Year;Julianday;Time;NO2;O3;PM10;CO;temperature;humidity;windspeed;sinJD;cosJD;sinTime;cosTime
1;1996;1;1;77,00;11,00;23,00;1,50;-5,55;97,00;1,30;0,02;1,00;0,26;0,97
2;1996;1;2;71,00;10,00;23,00;1,60;-5,55;97,00;1,30;0,02;1,00;0,50;0,87
3;1996;1;3;62,00;8,00;17,33;0,80;-6,05;97,00;1,30;0,02;1,00;0,71;0,71
4;1996;1;4;60,50;8,00;17,33;0,70;-6,55;97,00;1,30;0,02;1,00;0,87;0,50
5;1996;1;5;59,00;10,00;17,33;0,70;-6,95;97,00;1,30;0,02;1,00;0,97;0,26
6;1996;1;6;51,00;17,00;17,33;0,50;-6,95;97,00;1,33;0,02;1,00;1,00;0,00
7;1996;1;7;41,00;25,00;17,33;0,40;-6,85;97,00;1,35;0,02;1,00;0,97;-0,26
8;1996;1;8;32,00;34,00;6,75;0,50;-6,75;97,00;1,38;0,02;1,00;0,87;-0,50
9;1996;1;9;39,00;33,00;0,00;0,60;-7,35;96,70;1,47;0,02;1,00;0,71;-0,71
10;1996;1;10;51,00;32,00;7,00;0,90;-7,95;96,30;1,56;0,02;1,00;0,50;-0,87
11;1996;1;11;52,00;30,00;8,00;1,60;-8,45;96,00;1,66;0,02;1,00;0,26;-0,97
12;1996;1;12;43,00;36,00;7,00;1,10;-7,95;95,70;2,12;0,02;1,00;0,00;-1,00
13;1996;1;13;51,00;32,00;10,00;1,50;-7,45;95,30;2,58;0,02;1,00;-0,26;-0,97
14;1996;1;14;65,00;21,00;15,00;1,60;-6,95;95,00;3,04;0,02;1,00;-0,50;-0,87
15;1996;1;15;64,00;22,00;20,00;1,30;-6,75;94,70;3,56;0,02;1,00;-0,71;-0,71
16;1996;1;16;53,00;31,00;22,00;1,30;-6,45;94,30;4,07;0,02;1,00;-0,87;-0,50
17;1996;1;17;57,00;29,00;18,00;1,20;-6,15;94,00;4,58;0,02;1,00;-0,97;-0,26
18;1996;1;18;43,00;41,00;10,00;1,00;-5,75;93,70;5,00;0,02;1,00;-1,00;0,00
19;1996;1;19;26,00;60,00;7,00;0,60;-5,25;93,30;5,43;0,02;1,00;-0,97;0,26
20;1996;1;20;11,00;76,00;5,00;0,30;-4,75;93,00;5,85;0,02;1,00;-0,87;0,50
21;1996;1;21;10,00;77,00;5,00;0,20;-4,75;93,70;6,15;0,02;1,00;-0,71;0,71
22;1996;1;22;68,00;9,00;4,50;1,20;-4,65;94,30;6,44;0,02;1,00;-0,50;0,87
23;1996;1;23;69,00;9,00;4,00;0,90;-4,55;95,00;6,74;0,02;1,00;-0,26;0,97
24;1996;1;24;71,00;9,00;3,50;1,10;-4,25;94,70;6,61;0,02;1,00;0,00;1,00
25;1996;2;1;3,00;87,00;3,00;0,20;-3,95;94,30;6,48;0,03;1,00;0,26;0,97
26;1996;2;2;4,00;87,00;3,00;0,20;-3,55;94,00;6,35;0,03;1,00;0,50;0,87
27;1996;2;3;14,00;84,00;2,00;0,30;-3,65;94,00;6,23;0,03;1,00;0,71;0,71
28;1996;2;4;24,00;71,00;9,00;0,50;-3,65;94,00;6,10;0,03;1,00;0,87;0,50
29;1996;2;5;44,00;55,00;7,00;0,90;-3,65;94,00;5,97;0,03;1,00;0,97;0,26
30;1996;2;6;51,00;48,00;8,00;1,40;-3,95;92,30;5,55;0,03;1,00;1,00;0,00
31;1996;2;7;40,00;55,00;8,00;1,00;-4,15;90,70;5,12;0,03;1,00;0,97;-0,26
32;1996;2;8;47,00;51,00;7,33;0,80;-4,35;89,00;4,70;0,03;1,00;0,87;-0,50
33;1996;2;9;42,00;55,00;6,67;0,80;-5,15;90,70;3,96;0,03;1,00;0,71;-0,71
34;1996;2;10;42,00;50,00;6,00;0,80;-5,95;92,30;3,22;0,03;1,00;0,50;-0,87
35;1996;2;11;38,00;51,00;6,00;0,90;-6,75;94,00;2,48;0,03;1,00;0,26;-0,97
36;1996;2;12;51,00;45,00;8,00;1,20;-6,45;93,30;2,48;0,03;1,00;0,00;-1,00
